Date,Open,High,Low,Close,Volume,Currency
2019-01-02,385.064,389.0435,376.5365,377.105,22181,BRL
2019-01-02,70789.8,71521.3875,69222.1125,69326.625,22181,CLP
2019-01-02,89.5502,90.4757,87.5671,87.6993,22181,EUR
2019-01-02,101.6,102.65,99.35,99.5,22181,USD
2019-01-03,373.7718,387.8586,373.5839,383.7265,21488,BRL
2019-01-03,69030.115,71631.7525,68995.4265,70868.6055,21488,CLP
2019-01-03,87.3112,90.6019,87.2674,89.6366,21488,EUR
2019-01-03,99.5,103.25,99.45,102.15,21488,USD
2019-01-04,380.0956,382.6965,373.0362,377.4948,16115,BRL
2019-01-04,69687.783,70164.63,68393.484,69210.936,16115,CLP
2019-01-04,89.758,90.3722,88.091,89.1438,16115,EUR
2019-01-04,102.3,103.0,100.4,101.6,16115,USD
2019-01-07,379.1634,386.4478,377.8559,383.8329,15307,BRL
2019-01-07,69151.95,70480.485,68913.495,70003.575,15307,CLP
2019-01-07,88.437,90.136,88.132,89.5261,15307,EUR
2019-01-07,101.5,103.45,101.15,102.75,15307,USD
2019-01-08,382.0986,393.7955,380.0563,390.0822,32987,BRL
2019-01-08,70013.16,72156.42,69638.94,71476.02,32987,CLP
2019-01-08,89.914,92.6665,89.4334,91.7927,32987,EUR
2019-01-08,102.9,106.05,102.35,105.05,32987,USD
2019-01-09,386.4735,393.2828,384.081,387.5777,21955,BRL
2019-01-09,70980.0,72230.6,70540.6,71182.8,21955,CLP
2019-01-09,90.9615,92.5642,90.3984,91.2214,21955,EUR
2019-01-09,105.0,106.85,104.35,105.3,21955,USD
2019-01-10,389.6025,393.313,383.4802,386.8196,23607,BRL
2019-01-10,70965.3,71641.16,69850.131,70458.405,23607,CLP
2019-01-10,91.287,92.1564,89.8525,90.6349,23607,EUR
2019-01-10,105.0,106.0,103.35,104.25,23607,USD
2019-01-11,385.9752,388.9442,380.4082,385.4185,24878,BRL
2019-01-11,70185.44,70725.328,69173.15,70084.211,24878,CLP
2019-01-11,90.6672,91.3646,89.3595,90.5364,24878,EUR
2019-01-11,104.0,104.8,102.5,103.85,24878,USD
2019-01-14,382.4766,383.0314,375.6334,380.0722,16710,BRL
2019-01-14,69661.614,69762.6705,68415.2505,69223.7025,16710,CLP
2019-01-14,90.0821,90.2128,88.4704,89.5158,16710,EUR
2019-01-14,103.4,103.55,101.55,102.75,16710,USD
2019-01-15,380.0837,382.4999,373.2069,376.5524,20659,BRL
2019-01-15,69073.965,69513.066,67824.216,68432.202,20659,CLP
2019-01-15,89.571,90.1404,87.9504,88.7388,20659,EUR
2019-01-15,102.25,102.9,100.4,101.3,20659,USD
2019-01-16,377.0229,384.8698,376.0888,382.6278,21687,BRL
2019-01-16,67499.073,68903.91,67331.8305,68502.528,21687,CLP
2019-01-16,88.4893,90.331,88.2701,89.8048,21687,EUR
2019-01-16,100.9,103.0,100.65,102.4,21687,USD
2019-01-17,384.041,388.1664,381.6032,384.041,17112,BRL
2019-01-17,68663.296,69400.89,68227.445,68663.296,17112,CLP
2019-01-17,89.856,90.8212,89.2856,89.856,17112,EUR
2019-01-17,102.4,103.5,101.75,102.4,17112,USD
2019-01-18,385.8623,398.4305,384.9244,393.7409,27462,BRL
2019-01-18,69027.7775,71276.13,68859.99,70437.1925,27462,CLP
2019-01-18,90.4977,93.4454,90.2777,92.3455,27462,EUR
2019-01-18,102.85,106.2,102.6,104.95,27462,USD
2019-01-22,400.2145,403.4574,392.2026,394.3009,19239,BRL
2019-01-22,70678.473,71251.1775,69263.556,69634.1295,19239,CLP
2019-01-22,92.3435,93.0917,90.4948,90.979,19239,EUR
2019-01-22,104.9,105.75,102.8,103.35,19239,USD
2019-01-23,387.5523,391.6952,385.2925,389.4354,16628,BRL
2019-01-23,69172.467,69911.92,68769.129,69508.582,16628,CLP
2019-01-23,90.4079,91.3744,89.8808,90.8472,16628,EUR
2019-01-23,102.9,104.0,102.3,103.4,16628,USD
2019-01-24,391.2912,400.3471,388.8386,397.3285,22422,BRL
2019-01-24,69701.955,71315.115,69265.0575,70777.395,22422,CLP
2019-01-24,91.7123,93.8348,91.1374,93.1273,22422,EUR
2019-01-24,103.7,106.1,103.05,105.3,22422,USD
2019-01-25,400.0713,404.0305,396.6776,402.7108,26253,BRL
