"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.08.2023","844,80","855,98","863,34","842,45","","-1,21%"
"23.08.2023","855,18","870,00","871,14","854,63","","-1,65%"
"22.08.2023","869,55","870,55","871,88","861,53","","-0,06%"
"21.08.2023","870,10","871,01","875,67","864,10","","-0,05%"
"18.08.2023","870,56","867,23","873,40","862,59","","0,48%"
"17.08.2023","866,40","869,85","870,57","860,78","","-0,31%"
"16.08.2023","869,10","863,00","875,64","851,05","","0,76%"
"15.08.2023","862,55","857,15","863,17","856,97","","0,71%"
"14.08.2023","856,45","860,00","869,48","851,78","","-0,18%"
"11.08.2023","858,00","846,45","860,25","844,53","","1,46%"
"10.08.2023","845,65","861,60","862,15","845,25","","-1,80%"
"09.08.2023","861,15","862,03","863,05","855,32","","-0,01%"
"08.08.2023","861,23","859,10","868,14","858,92","","0,34%"
"07.08.2023","858,30","852,35","859,79","850,44","","0,70%"
"04.08.2023","852,30","851,20","853,42","842,83","","0,22%"
"03.08.2023","850,40","848,83","859,47","847,59","","0,29%"
"02.08.2023","847,92","840,75","851,59","839,41","","0,91%"
"01.08.2023","840,30","839,25","846,51","838,58","","0,22%"
"31.07.2023","838,45","829,53","843,66","828,84","","1,17%"
"28.07.2023","828,73","830,28","831,08","823,97","","-0,09%"
"27.07.2023","829,48","823,98","830,61","820,71","","0,77%"
"26.07.2023","823,18","829,03","831,35","821,45","","-0,61%"
"25.07.2023","828,23","828,37","831,22","825,90","","0,08%"
"24.07.2023","827,57","822,80","830,59","819,00","","0,68%"
"21.07.2023","822,00","817,00","827,33","813,83","","0,72%"
"20.07.2023","816,10","806,70","818,45","802,90","","1,27%"
"19.07.2023","805,90","815,85","817,65","805,92","","-1,12%"
"18.07.2023","815,05","818,48","820,42","813,07","","-0,36%"
"17.07.2023","818,03","814,50","823,83","814,28","","0,53%"
"14.07.2023","813,70","811,42","815,55","808,79","","0,38%"
"13.07.2023","810,62","811,62","811,83","806,88","","-0,07%"
"12.07.2023","811,17","815,42","816,02","808,28","","-0,47%"
"11.07.2023","814,97","813,67","820,32","812,45","","0,26%"
"10.07.2023","812,87","807,82","814,81","806,63","","0,72%"
"07.07.2023","807,02","802,64","808,82","800,85","","0,60%"
"06.07.2023","802,20","796,98","807,97","796,52","","0,69%"
"05.07.2023","796,70","799,00","803,03","795,85","","-0,21%"
"04.07.2023","798,40","798,95","799,20","794,00","","0,01%"
"03.07.2023","798,30","801,73","803,00","796,47","","-0,33%"
"30.06.2023","800,93","803,45","806,08","798,67","","-0,26%"
"29.06.2023","803,00","800,65","804,77","799,96","","0,35%"
"28.06.2023","800,20","797,73","803,24","797,20","","0,29%"
"27.06.2023","797,90","805,25","806,80","794,75","","-0,96%"
"26.06.2023","805,60","806,25","806,88","805,00","","-0,02%"
"23.06.2023","805,80","804,50","810,98","804,28","","0,20%"
"22.06.2023","804,20","804,25","807,67","800,75","","0,05%"
"21.06.2023","803,78","804,00","804,67","802,70","","0,03%"
"20.06.2023","803,55","795,35","804,88","793,97","","1,02%"
"19.06.2023","795,40","794,50","798,10","793,63","","0,21%"
"16.06.2023","793,70","793,58","795,63","790,24","","0,07%"
"15.06.2023","793,13","802,40","805,20","792,41","","-1,02%"
"14.06.2023","801,30","803,80","804,05","796,99","","-0,21%"
"13.06.2023","803,00","806,80","807,86","801,39","","-0,40%"
"12.06.2023","806,20","788,30","809,59","788,30","","2,37%"
"09.06.2023","787,50","786,80","789,70","783,77","","0,08%"
"08.06.2023","786,85","791,00","794,68","785,97","","-0,53%"
"07.06.2023","791,05","796,28","797,20","790,57","","-0,60%"
"06.06.2023","795,80","798,74","802,47","795,10","","-0,37%"
"05.06.2023","798,74","798,94","801,10","795,54","","0,06%"
"02.06.2023","798,30","804,70","805,08","795,51","","-0,72%"
"01.06.2023","804,06","808,75","810,30","800,48","","-0,52%"
"31.05.2023","808,30","804,75","814,95","804,46","","0,50%"
"30.05.2023","804,30","805,60","806,50","800,92","","-0,06%"
"29.05.2023","804,75","798,55","806,94","796,39","","0,88%"
"26.05.2023","797,70","810,45","810,75","797,97","","-1,52%"
"25.05.2023","810,00","807,25","815,70","803,59","","0,38%"
"24.05.2023","806,90","803,00","814,13","800,91","","0,54%"
"23.05.2023","802,55","796,25","804,45","795,58","","0,84%"
"22.05.2023","795,90","798,69","804,95","795,59","","-0,24%"
"19.05.2023","797,84","796,65","800,86","792,65","","0,26%"
"18.05.2023","795,80","791,69","800,57","788,44","","0,58%"
"17.05.2023","791,24","799,28","804,23","791,49","","-0,90%"
"16.05.2023","798,43","786,48","800,67","786,15","","1,58%"
"15.05.2023","786,03","785,75","787,72","778,13","","0,14%"
"12.05.2023","784,90","793,25","793,78","781,19","","-0,87%"
"11.05.2023","791,78","788,78","802,05","788,00","","0,49%"
"10.05.2023","787,93","789,15","791,45","785,11","","-0,10%"
"09.05.2023","788,70","798,10","800,67","788,08","","-1,07%"
"08.05.2023","797,25","793,80","799,35","783,47","","0,60%"
"05.05.2023","792,53","799,25","799,65","791,93","","-0,78%"
"04.05.2023","798,80","803,35","805,14","796,96","","-0,51%"
"03.05.2023","802,90","809,82","810,43","800,90","","-0,75%"
"02.05.2023","808,97","806,74","811,16","804,74","","0,37%"
"01.05.2023","806,00","807,00","807,43","806,69","","-0,04%"
"28.04.2023","806,36","803,36","808,05","800,42","","0,43%"
"27.04.2023","802,91","805,10","807,45","797,93","","-0,22%"
"26.04.2023","804,65","812,54","813,00","799,21","","-0,89%"
"25.04.2023","811,91","814,30","820,55","809,28","","-0,24%"
"24.04.2023","813,90","802,70","818,59","802,00","","1,44%"
"21.04.2023","802,36","793,50","803,58","791,92","","1,16%"
"20.04.2023","793,16","794,28","797,43","788,84","","-0,10%"
"19.04.2023","793,94","794,75","802,29","792,71","","-0,01%"
"18.04.2023","794,01","801,03","801,35","792,18","","-0,82%"
"17.04.2023","800,58","797,15","803,70","796,25","","0,47%"
"14.04.2023","796,87","795,50","801,82","792,34","","0,21%"
"13.04.2023","795,22","804,07","806,32","791,29","","-1,05%"
"12.04.2023","803,62","806,04","806,72","798,66","","-0,24%"
"11.04.2023","805,59","819,08","819,72","804,30","","-1,61%"
"10.04.2023","818,80","818,70","825,59","817,02","","0,05%"
"07.04.2023","818,42","818,70","819,40","818,03","","0,00%"
"06.04.2023","818,42","810,08","820,10","807,14","","1,06%"
"05.04.2023","809,80","807,70","816,99","804,28","","0,29%"
"04.04.2023","807,42","810,73","817,53","805,08","","-0,37%"
"03.04.2023","810,45","794,89","811,23","791,86","","2,02%"
"31.03.2023","794,44","789,63","801,96","782,00","","0,56%"
"30.03.2023","790,04","793,38","794,40","785,60","","-0,36%"
"29.03.2023","792,93","797,20","798,46","787,17","","-0,57%"
"28.03.2023","797,51","805,61","806,83","794,03","","-0,99%"
"27.03.2023","805,49","810,50","813,66","801,45","","-0,58%"
"24.03.2023","810,22","807,30","815,48","805,74","","0,40%"
"23.03.2023","807,02","810,74","812,40","800,01","","-0,42%"
"22.03.2023","810,41","822,75","823,92","806,99","","-1,46%"
"21.03.2023","822,45","826,08","826,16","816,58","","-0,40%"
"20.03.2023","825,78","826,96","836,03","822,01","","-0,10%"
"17.03.2023","826,61","823,75","837,66","819,67","","0,40%"
"16.03.2023","823,30","821,30","829,78","817,85","","0,29%"
"15.03.2023","820,95","802,45","829,69","801,17","","2,34%"
"14.03.2023","802,20","805,60","806,72","794,68","","-0,40%"
"13.03.2023","805,40","800,75","812,69","795,18","","0,64%"
"10.03.2023","800,30","796,45","808,15","790,16","","0,54%"
"09.03.2023","796,00","804,78","805,60","793,18","","-1,07%"
"08.03.2023","804,63","805,53","809,60","798,07","","-0,06%"
"07.03.2023","805,08","796,70","806,03","787,01","","1,11%"
"06.03.2023","796,25","802,70","808,42","796,13","","-0,78%"
"03.03.2023","802,50","812,25","812,66","802,03","","-1,18%"
"02.03.2023","812,05","810,63","818,80","810,29","","0,20%"
"01.03.2023","810,43","827,67","827,89","808,69","","-2,06%"
"28.02.2023","827,47","832,90","834,40","824,38","","-0,63%"
"27.02.2023","832,70","826,20","837,39","820,55","","0,81%"
"24.02.2023","826,00","807,60","829,10","806,83","","2,30%"
"23.02.2023","807,40","801,08","810,72","795,41","","0,81%"
"22.02.2023","800,88","803,58","805,13","795,03","","-0,28%"
"21.02.2023","803,13","799,13","804,16","791,63","","0,61%"
"20.02.2023","798,25","788,70","799,40","785,13","","1,32%"
"17.02.2023","787,82","791,51","801,39","784,83","","-0,41%"
"16.02.2023","791,05","792,01","801,91","786,99","","-0,09%"
"15.02.2023","791,78","785,15","798,39","785,15","","0,90%"
"14.02.2023","784,70","795,95","796,53","784,86","","-1,36%"
"13.02.2023","795,50","798,29","800,98","787,91","","-0,32%"
"10.02.2023","798,09","801,45","808,46","795,45","","-0,30%"
"09.02.2023","800,50","801,45","803,28","792,26","","-0,06%"
"08.02.2023","801,00","793,14","803,20","786,67","","1,02%"
"07.02.2023","792,94","803,54","804,68","790,42","","-1,29%"
"06.02.2023","803,29","796,85","811,31","796,08","","0,96%"
"03.02.2023","795,65","780,00","799,28","776,10","","2,07%"
"02.02.2023","779,55","786,55","787,10","776,30","","-0,83%"
"01.02.2023","786,10","796,16","797,07","785,04","","-1,18%"
"31.01.2023","795,48","807,50","814,20","794,97","","-1,40%"
"30.01.2023","806,80","806,41","813,28","805,66","","0,13%"
"27.01.2023","805,73","802,28","810,96","796,33","","0,46%"
"26.01.2023","802,03","803,45","807,40","798,53","","-0,14%"
"25.01.2023","803,15","801,45","807,66","798,79","10,56K","0,24%"
"24.01.2023","801,20","813,28","817,25","798,21","12,50K","-1,46%"
"23.01.2023","813,03","815,30","818,52","809,10","10,04K","-0,15%"
"20.01.2023","814,25","823,75","826,44","813,53","9,23K","-1,00%"
"19.01.2023","822,44","823,99","834,79","823,02","10,26K","-0,09%"
"18.01.2023","823,21","815,15","827,16","805,83","11,37K","1,09%"
"17.01.2023","814,36","822,67","827,31","814,48","12,18K","-0,82%"
"16.01.2023","821,10","817,51","826,68","816,91","7,16K","0,63%"
"13.01.2023","815,93","818,50","829,23","815,48","8,40K","-0,17%"
"12.01.2023","817,32","823,76","830,86","812,38","10,28K","-0,70%"
"11.01.2023","823,10","826,95","830,18","820,48","8,57K","-0,34%"
"10.01.2023","825,90","835,63","839,97","824,28","8,28K","-1,07%"
"09.01.2023","834,84","841,38","842,08","831,65","7,52K","-0,72%"
"06.01.2023","840,93","851,85","856,50","840,15","4,37K","-1,23%"
"05.01.2023","851,40","855,41","863,10","848,60","5,17K","-0,42%"
"04.01.2023","854,96","862,85","862,85","849,75","5,55K","-0,86%"
"03.01.2023","862,40","848,25","865,03","845,05","4,67K","1,72%"
"02.01.2023","847,80","848,25","848,25","848,25","","0,00%"
"30.12.2022","847,80","856,50","859,85","847,80","2,80K","-0,96%"
"29.12.2022","856,05","862,25","867,55","854,50","4,34K","-0,75%"
"28.12.2022","862,55","868,10","868,22","855,60","6,07K","-0,56%"
